strategy,country,index,track,CAGR,MaxDD,Calmar,Sharpe,n_trades,qualified
12-Month Momentum (Monthly Rebalance),United Kingdom,FTSE 250,Net-Discount,0.015578,-0.305985,0.05091,0.204601,10,True
12-Month Momentum (Monthly Rebalance),United Kingdom,FTSE 250,Net-Full-Service,0.007073,-0.372491,0.018989,0.119566,10,True
12-Month Momentum (Monthly Rebalance),United Kingdom,FTSE 250,Net-Tax,0.022787,-0.24781,0.091953,0.282858,10,True
12-Month Momentum (Monthly Rebalance),United States,Dow Jones Industrial Average,Buy-and-Hold,0.090645,-0.370878,0.244406,0.599296,1,True
12-Month Momentum (Monthly Rebalance),United States,Dow Jones Industrial Average,Gross,0.044649,-0.385154,0.115925,0.383139,11,True
12-Month Momentum (Monthly Rebalance),United States,Dow Jones Industrial Average,Net-Discount,0.036727,-0.423973,0.086627,0.317485,11,True
12-Month Momentum (Monthly Rebalance),United States,Dow Jones Industrial Average,Net-Full-Service,0.034516,-0.432234,0.079855,0.29969,11,True
12-Month Momentum (Monthly Rebalance),United States,Dow Jones Industrial Average,Net-Tax,0.036786,-0.423633,0.086836,0.318007,11,True
12-Month Momentum (Monthly Rebalance),United States,Nasdaq Composite,Buy-and-Hold,0.144335,-0.363959,0.396568,0.752144,1,True
12-Month Momentum (Monthly Rebalance),United States,Nasdaq Composite,Gross,0.096517,-0.370474,0.260524,0.622224,9,True
12-Month Momentum (Monthly Rebalance),United States,Nasdaq Composite,Net-Discount,0.086571,-0.411294,0.210484,0.541247,9,True
12-Month Momentum (Monthly Rebalance),United States,Nasdaq Composite,Net-Full-Service,0.085644,-0.421222,0.203322,0.531447,9,True
12-Month Momentum (Monthly Rebalance),United States,Nasdaq Composite,Net-Tax,0.086602,-0.410933,0.210745,0.541604,9,True
12-Month Momentum (Monthly Rebalance),United States,S&P 500,Buy-and-Hold,0.109658,-0.339263,0.323223,0.681481,1,True
12-Month Momentum (Monthly Rebalance),United States,S&P 500,Gross,0.078192,-0.33925,0.230485,0.602024,8,True
12-Month Momentum (Monthly Rebalance),United States,S&P 500,Net-Discount,0.06946,-0.357982,0.194032,0.519664,8,True
12-Month Momentum (Monthly Rebalance),United States,S&P 500,Net-Full-Service,0.068434,-0.363267,0.188384,0.507525,8,True
12-Month Momentum (Monthly Rebalance),United States,S&P 500,Net-Tax,0.069496,-0.357749,0.19426,0.520133,8,True
14-Day RSI Oscillator,Australia,ASX 200,Buy-and-Hold,0.036563,-0.365332,0.100083,0.315013,1,True
14-Day RSI Oscillator,Australia,ASX 200,Gross,0.047603,-0.323895,0.14697,0.466727,42,True
14-Day RSI Oscillator,Australia,ASX 200,Net-Discount,0.026484,-0.403136,0.065694,0.260198,42,True
14-Day RSI Oscillator,Australia,ASX 200,Net-Full-Service,0.000214,-0.511354,0.000419,0.088402,42,True
14-Day RSI Oscillator,Australia,ASX 200,Net-Tax,0.026811,-0.401174,0.066831,0.263041,42,True
14-Day RSI Oscillator,Australia,All Ordinaries,Buy-and-Hold,0.03732,-0.370947,0.100606,0.322703,1,True
14-Day RSI Oscillator,Australia,All Ordinaries,Gross,0.043117,-0.331939,0.129895,0.435296,42,True
14-Day RSI Oscillator,Australia,All Ordinaries,Net-Discount,0.021225,-0.418163,0.050759,0.222763,42,True
